Date,Close/Last,Volume,Open,High,Low
03/17/2023,$293.51,15611270,$301.30,$301.30,$292.42
03/16/2023,$302.01,6327578,$296.37,$304.43,$295.36
03/15/2023,$297.88,7165298,$300.02,$300.55,$294.90
03/14/2023,$305.33,5255174,$306.92,$307.55,$301.68
03/13/2023,$302.88,4993820,$301.75,$306.59,$300.76
03/10/2023,$303.63,5297790,$302.95,$306.72,$301.92
03/09/2023,$304.82,3934324,$311.00,$313.18,$303.9388
03/08/2023,$311.37,2706760,$310.72,$312.675,$309.2522
03/07/2023,$311.12,3610304,$316.39,$316.50,$310.23
03/06/2023,$316.97,4892345,$312.82,$317.29,$312.43
03/03/2023,$312.45,4493702,$309.56,$312.66,$308.50
03/02/2023,$307.75,3153781,$303.66,$308.10,$301.445
03/01/2023,$304.62,3400537,$304.02,$305.62,$302.08
02/28/2023,$305.18,4737739,$304.89,$306.15,$303.41
02/27/2023,$304.66,3652907,$304.37,$305.78,$302.01
02/24/2023,$304.02,3659339,$300.40,$305.62,$300.01
02/23/2023,$303.07,2739656,$305.01,$305.56,$300.25
02/22/2023,$303.16,2900326,$303.20,$305.275,$301.77
02/21/2023,$302.72,4131732,$306.17,$307.30,$300.50
02/17/2023,$308.24,2721407,$307.15,$308.41,$305.48
02/16/2023,$308.18,2803844,$307.58,$310.20,$306.87
02/15/2023,$309.63,2411819,$309.98,$310.37,$308.28
02/14/2023,$310.79,2908849,$313.78,$314.10,$309.04
02/13/2023,$313.74,3261952,$310.30,$313.74,$309.62
02/10/2023,$309.89,2811155,$307.08,$309.98,$305.28
02/09/2023,$307.21,3462603,$310.17,$311.42,$306.99
02/08/2023,$308.48,3370587,$311.12,$313.41,$308.01
02/07/2023,$312.97,3788007,$307.30,$314.15,$306.63
02/06/2023,$308.43,2980217,$308.25,$308.80,$305.60
02/03/2023,$308.51,5387548,$311.00,$311.55,$305.921
02/02/2023,$311.86,4430266,$312.35,$312.60,$308.30
02/01/2023,$310.57,3520304,$309.63,$312.67,$306.38
01/31/2023,$311.52,3655334,$307.74,$311.86,$305.79
01/30/2023,$307.33,3475781,$307.60,$309.5115,$306.81
01/27/2023,$309.17,3034223,$309.79,$311.73,$308.34
01/26/2023,$310.95,2858754,$312.99,$313.68,$309.58
01/25/2023,$311.90,2300785,$308.33,$312.55,$307.71
01/24/2023,$311.30,2234333,$309.30,$312.83,$307.50
01/23/2023,$310.42,3088133,$309.63,$312.73,$306.8501
01/20/2023,$309.87,3772210,$305.21,$310.01,$304.3626
01/19/2023,$305.23,3615144,$306.12,$307.235,$303.86
01/18/2023,$308.30,3408726,$315.00,$315.54,$307.75
01/17/2023,$314.86,3479442,$318.40,$318.52,$314.25
01/13/2023,$317.64,2773650,$317.49,$318.42,$315.79
01/12/2023,$318.93,3075151,$321.15,$321.32,$317.72
01/11/2023,$320.37,3001242,$318.52,$320.57,$316.60
01/10/2023,$316.35,3050322,$315.00,$316.80,$313.34
01/09/2023,$315.53,4399047,$319.02,$320.50,$314.75
01/06/2023,$318.69,3648810,$315.00,$320.16,$313.38
01/05/2023,$312.90,3418149,$313.574,$314.23,$310.00
01/04/2023,$314.55,5122121,$312.00,$316.89,$311.25
01/03/2023,$309.91,3551418,$310.07,$312.385,$307.38
12/30/2022,$308.90,3298865,$306.95,$309.04,$305.6212
12/29/2022,$309.06,2848063,$305.94,$309.38,$305.235
12/28/2022,$303.43,2628685,$304.77,$307.4607,$303.26
12/27/2022,$305.55,2731731,$306.45,$308.575,$304.65
12/23/2022,$306.49,2460858,$302.88,$306.57,$300.925
12/22/2022,$302.69,3560763,$306.10,$306.50,$297.6391
12/21/2022,$307.82,3265614,$304.38,$308.54,$304.16
12/20/2022,$302.00,3091869,$300.09,$304.19,$297.00
