Date,Close/Last,Volume,Open,High,Low
03/17/2023,$46.15,28300460,$46.31,$46.45,$45.041
03/16/2023,$46.27,14265570,$44.41,$46.35,$44.03
03/15/2023,$45.12,23274160,$47.09,$47.27,$44.37
03/14/2023,$49.22,12442470,$49.01,$50.84,$48.3101
03/13/2023,$49.98,15449730,$50.00,$51.07,$49.0201
03/10/2023,$51.76,12351120,$52.85,$53.67,$51.335
03/09/2023,$52.98,9275201,$54.82,$55.37,$52.85
03/08/2023,$54.50,8379129,$54.69,$55.58,$54.01
03/07/2023,$55.03,9492546,$56.11,$56.34,$54.76
03/06/2023,$56.49,8926267,$56.16,$56.7999,$55.87
03/03/2023,$56.67,10997780,$54.91,$57.13,$54.7765
03/02/2023,$55.70,8666721,$54.25,$56.00,$54.20
03/01/2023,$54.74,9308078,$53.82,$55.045,$53.56
02/28/2023,$53.92,10887290,$54.97,$55.13,$53.88
02/27/2023,$54.52,9624194,$55.12,$55.27,$54.26
02/24/2023,$55.00,10030080,$54.42,$55.19,$53.9012
02/23/2023,$55.00,11919440,$54.40,$55.2662,$53.80
02/22/2023,$53.59,13144360,$53.71,$54.35,$52.56
02/21/2023,$53.73,11378830,$53.68,$54.09,$53.19
02/17/2023,$53.33,25514590,$54.80,$54.80,$52.45
02/16/2023,$55.72,17678660,$57.01,$57.4174,$55.68
02/15/2023,$57.23,52451720,$58.85,$59.17,$55.40
02/14/2023,$63.94,8775617,$62.92,$64.4042,$62.54
02/13/2023,$63.56,7606834,$62.96,$64.11,$62.40
02/10/2023,$63.54,8727505,$61.37,$63.69,$61.22
02/09/2023,$60.30,5685323,$61.27,$61.51,$60.16
02/08/2023,$61.33,7848736,$62.30,$62.80,$60.90
02/07/2023,$62.21,8170789,$60.72,$62.33,$59.855
02/06/2023,$60.14,7394882,$60.61,$61.3209,$59.305
02/03/2023,$60.85,6564084,$61.00,$62.535,$60.765
02/02/2023,$60.95,8770255,$62.06,$62.06,$60.00
02/01/2023,$61.89,9653361,$62.56,$62.80,$60.74
01/31/2023,$63.24,7472273,$62.40,$63.735,$61.96
01/30/2023,$62.34,8003892,$64.60,$64.94,$62.29
01/27/2023,$65.27,7210246,$65.72,$66.955,$65.25
01/26/2023,$65.72,6346714,$65.13,$65.73,$63.69
01/25/2023,$64.17,5834717,$63.40,$64.18,$62.41
01/24/2023,$63.97,7043504,$65.75,$66.12,$63.81
01/23/2023,$65.76,6246101,$65.33,$66.26,$65.0435
01/20/2023,$64.75,7093792,$64.31,$64.95,$63.3921
01/19/2023,$64.08,7312935,$62.18,$64.20,$62.04
01/18/2023,$62.62,8349637,$64.04,$65.41,$62.59
01/17/2023,$63.49,5383876,$63.77,$64.39,$63.19
01/13/2023,$63.59,5474122,$63.91,$64.15,$62.88
01/12/2023,$64.03,7232049,$63.44,$64.78,$63.2702
01/11/2023,$62.85,7557065,$63.94,$64.11,$62.255
01/10/2023,$63.13,5909275,$62.80,$63.16,$61.47
01/09/2023,$62.20,7567909,$62.69,$63.49,$61.94
01/06/2023,$61.23,7332509,$61.17,$62.26,$60.80
01/05/2023,$60.17,8812137,$58.86,$60.50,$58.57
01/04/2023,$58.90,9690884,$56.88,$59.26,$56.41
01/03/2023,$58.12,10613240,$60.73,$61.26,$57.22
12/30/2022,$61.51,6690935,$60.95,$61.57,$60.52
12/29/2022,$61.04,6355936,$60.35,$61.53,$60.14
12/28/2022,$60.89,6524419,$62.85,$62.87,$60.641
12/27/2022,$63.24,6771927,$63.02,$63.625,$62.63
12/23/2022,$62.51,6099589,$60.93,$62.52,$60.44
12/22/2022,$60.11,8071990,$61.56,$61.76,$58.59
12/21/2022,$61.76,7992842,$60.88,$61.895,$60.22
12/20/2022,$59.36,7606352,$58.95,$59.90,$58.56
12/19/2022,$59.26,7011733,$60.45,$60.92,$58.715
12/16/2022,$60.08,14377250,$60.00,$60.76,$59.06
12/15/2022,$61.58,7981148,$61.13,$61.77,$60.26
12/14/2022,$61.92,9062700,$62.63,$63.09,$60.83
12/13/2022,$61.98,10915120,$62.64,$63.09,$61.00
12/12/2022,$61.08,10636050,$59.99,$61.485,$59.57
12/09/2022,$59.62,13152810,$61.95,$62.375,$59.54
12/08/2022,$63.50,13385440,$65.90,$66.38,$63.05
12/07/2022,$64.25,10523240,$64.57,$65.46,$63.40
12/06/2022,$64.13,10278480,$66.00,$67.26,$63.64
12/05/2022,$66.55,11218090,$69.75,$70.42,$65.85
12/02/2022,$68.46,8250505,$68.00,$69.48,$68.00
12/01/2022,$68.28,7640276,$69.55,$70.13,$68.14
11/30/2022,$68.52,13844820,$68.70,$68.88,$66.91
11/29/2022,$67.50,10032120,$67.70,$68.16,$66.53
11/28/2022,$66.53,9720541,$66.04,$67.85,$65.18
11/25/2022,$68.35,3520469,$68.45,$69.10,$67.96
11/23/2022,$67.80,9888760,$67.50,$68.33,$66.71
11/22/2022,$68.57,14037140,$68.13,$70.43,$67.58
11/21/2022,$67.19,15267250,$67.60,$68.05,$65.02
11/18/2022,$69.62,10216630,$69.02,$69.84,$67.60
11/17/2022,$70.99,8337754,$70.00,$71.02,$68.56
11/16/2022,$71.34,8881375,$72.19,$73.04,$70.93
11/15/2022,$73.62,8500591,$72.25,$73.98,$71.42
11/14/2022,$71.50,6600634,$71.35,$72.93,$71.13
11/11/2022,$71.80,9500397,$70.45,$72.99,$70.27
11/10/2022,$68.98,8089841,$68.55,$69.72,$66.8447
11/09/2022,$66.76,9463380,$70.48,$70.74,$66.72
11/08/2022,$71.99,8450293,$72.19,$72.49,$70.39
11/07/2022,$72.04,9347048,$71.74,$72.89,$70.47
11/04/2022,$71.48,14218450,$72.91,$74.2589,$70.18
11/03/2022,$70.73,18048620,$67.58,$71.29,$66.55
11/02/2022,$67.44,36589410,$75.45,$75.46,$66.60
11/01/2022,$77.30,10730330,$78.69,$78.77,$76.84
10/31/2022,$77.35,8429591,$75.04,$78.27,$74.76
10/28/2022,$76.01,7861234,$77.58,$78.02,$73.86
10/27/2022,$76.56,7410869,$78.50,$78.82,$76.34
10/26/2022,$76.92,7815217,$75.87,$78.08,$75.87
10/25/2022,$75.51,6541039,$74.84,$75.78,$73.97
10/24/2022,$75.24,8530879,$74.55,$75.87,$73.95
