Date,Close/Last,Volume,Open,High,Low
2023-03-17,102.06,2866669,102.27,102.58,101.06
2023-03-16,103.24,3167668,101.58,103.28,101.15
2023-03-15,102.3,3074281,102.11,103.1,100.95
2023-03-14,103.68,2221949,104.57,104.99,102.81
2023-03-13,103.39,2920419,102.9,104.855,102.2
2023-03-10,104.17,2458142,105.65,106.33,103.83
2023-03-09,105.56,2034152,108.91,108.97,105.265
2023-03-08,109.04,1903115,110.04,110.365,108.28
2023-03-07,109.86,2741615,112.57,112.755,109.66
2023-03-06,112.4,2365039,112.12,113.57,111.74
2023-03-03,112.43,2247549,111.01,112.5,110.71
2023-03-02,111.01,2569864,110.66,111.07,109.48
2023-03-01,110.67,5081616,106.98,110.8,105.1
2023-02-28,110.54,3519278,110.91,111.89,110.4
2023-02-27,110.92,1992977,112.74,112.8,110.69
2023-02-24,111.46,2103517,110.44,111.85,109.84
2023-02-23,111.49,1875581,112.22,112.53,110.56
2023-02-22,112.66,3075373,112.98,113.93,112.0
2023-02-21,112.91,2446769,114.5,114.95,112.73
2023-02-17,115.69,1473051,114.97,116.17,114.67
2023-02-16,115.32,2351327,115.03,116.69,114.53
2023-02-15,116.64,1671749,115.88,117.25,115.175
2023-02-14,116.8,1928392,116.78,117.33,114.94
2023-02-13,116.78,1751795,115.75,117.2,115.115
2023-02-10,115.18,1370997,114.75,115.32,113.76
2023-02-09,115.02,2140867,115.68,117.04,114.905
2023-02-08,114.49,2691046,113.88,114.5,111.9066
2023-02-07,114.49,2535901,114.74,114.765,112.03
2023-02-06,115.71,2073536,115.1,116.785,114.68
2023-02-03,115.32,3780597,115.87,116.315,114.79
2023-02-02,116.09,3553540,118.96,119.21,115.73
2023-02-01,118.52,2213402,119.02,119.315,116.15
2023-01-31,118.19,2208173,119.12,119.46,117.7155
2023-01-30,118.995,1689972,118.69,119.97,118.255
2023-01-27,119.48,1887218,120.77,121.855,119.38
2023-01-26,120.71,1847336,120.29,121.16,119.4
2023-01-25,120.2,1674479,116.91,120.22,116.19
2023-01-24,117.72,1881685,116.225,117.9,115.45
2023-01-23,115.78,2132724,116.1,116.275,115.0
2023-01-20,115.73,2240837,115.05,116.3,114.33
2023-01-19,115.75,1618773,116.39,116.94,115.67
2023-01-18,117.38,1762231,119.98,120.15,117.3
2023-01-17,119.76,1708180,119.92,120.01,119.04
2023-01-13,120.01,2339428,118.51,120.13,118.14
2023-01-12,118.75,2747074,119.48,119.58,117.95
2023-01-11,119.54,2533969,120.04,120.27,119.02
2023-01-10,119.79,1596409,118.73,120.04,118.73
2023-01-09,118.73,2581327,120.75,121.25,118.61
2023-01-06,121.57,2467903,119.42,122.445,119.17
2023-01-05,118.4,2058821,116.94,118.97,116.47
2023-01-04,117.97,2008956,117.24,118.9,116.54
2023-01-03,115.83,1707641,116.63,117.12,114.75
2022-12-30,116.07,1547949,114.94,116.09,114.53
2022-12-29,115.86,1593752,115.28,116.49,115.05
2022-12-28,114.29,1321621,114.98,115.88,114.265
2022-12-27,115.04,1362620,115.84,116.4406,114.42
2022-12-23,115.48,1317109,113.86,115.66,112.92
2022-12-22,113.96,2250120,113.595,114.25,112.5
2022-12-21,115.13,2572041,115.98,116.46,114.59
2022-12-20,114.35,2136473,114.51,115.28,114.24
2022-12-19,114.92,2423884,114.25,115.48,113.67
2022-12-16,113.95,5324419,112.89,114.47,112.4
2022-12-15,113.69,3293120,115.94,116.705,113.41
2022-12-14,117.42,2184505,117.75,118.36,115.54
2022-12-13,117.53,2163021,120.385,120.385,116.14
2022-12-12,116.39,1744477,115.5,116.42,114.23
2022-12-09,114.89,2037699,116.39,116.72,114.795
2022-12-08,117.14,2467705,115.55,117.28,115.24
2022-12-07,115.36,1984076,115.93,116.88,115.15
2022-12-06,116.53,2651763,117.7,119.03,116.21
2022-12-05,117.36,2022128,117.82,118.1,116.5
2022-12-02,119.0,2120579,116.14,119.48,116.13
