Date,Close/Last,Volume,Open,High,Low
03/17/2023,80.55,9103196,82.08,82.16,80.47
03/16/2023,82.42,10324720,81.86,82.83,80.95
03/15/2023,82.60,10284920,81.31,82.85,81.295
03/14/2023,82.66,8706485,83.26,83.62,81.77
03/13/2023,81.87,16288020,80.39,82.955,80.09
03/10/2023,80.81,10351040,83.46,83.63,80.38
03/09/2023,83.58,5974604,85.68,85.76,83.395
03/08/2023,85.54,5750544,84.53,86.04,84.49
03/07/2023,84.57,6540561,86.53,86.61,84.39
03/06/2023,86.59,3893712,87.33,87.41,86.385
03/03/2023,86.93,4542142,86.31,87.125,86.06
03/02/2023,85.63,5208831,84.04,85.76,83.92
03/01/2023,84.64,7041843,85.12,85.37,83.96
02/28/2023,85.72,7261084,85.802,86.84,85.62
02/27/2023,85.84,5170985,86.54,87.15,85.47
02/24/2023,85.71,5065365,86.26,86.33,85.265
02/23/2023,87.24,6074921,87.12,87.47,86.29
02/22/2023,86.59,4456563,87.60,87.77,86.20
02/21/2023,87.38,4926568,88.61,88.62,86.99
02/17/2023,89.17,4299623,89.205,89.46,88.32
02/16/2023,89.52,4493074,89.13,90.31,88.42
02/15/2023,90.40,3670218,89.49,90.42,89.24
02/14/2023,90.04,4217601,90.47,91.16,89.50
02/13/2023,90.76,2921931,90.18,90.90,90.08
02/10/2023,89.96,3270260,89.25,90.13,88.76
02/09/2023,89.65,2905154,91.012,91.53,89.405
02/08/2023,90.64,4886938,90.65,91.15,90.32
02/07/2023,91.07,5912659,90.84,91.49,89.87
02/06/2023,91.27,3787593,90.80,91.38,90.34
02/03/2023,91.94,5352966,92.39,92.44,90.80
02/02/2023,93.70,5218684,92.45,94.525,92.42
02/01/2023,91.62,9787435,90.57,92.24,89.60
01/31/2023,91.06,5449771,89.29,91.17,89.14
01/30/2023,89.19,4737710,89.62,90.58,89.15
01/27/2023,90.34,4972190,89.14,90.68,89.14
01/26/2023,89.34,3938999,88.85,89.36,88.365
01/25/2023,88.35,4953525,87.91,88.49,87.50
01/24/2023,88.31,3810615,87.85,88.68,87.00
01/23/2023,88.09,5154168,87.70,88.585,87.14
01/20/2023,87.69,4251191,86.68,87.72,85.67
01/19/2023,86.66,4696835,86.66,87.63,86.61
01/18/2023,87.14,5984197,88.68,88.98,86.985
01/17/2023,88.43,3943942,88.31,88.89,88.08
01/13/2023,88.18,4153786,87.80,88.53,87.53
01/12/2023,88.73,5890562,88.00,88.8599,87.13
01/11/2023,87.62,5663308,85.22,87.65,85.22
01/10/2023,84.59,8040796,84.27,84.59,83.47
01/09/2023,84.40,5699259,84.64,85.325,84.04
01/06/2023,84.37,5962191,82.57,84.66,82.20
01/05/2023,82.16,6839615,83.76,83.76,81.96
01/04/2023,84.43,6860246,83.25,85.179,83.17
01/03/2023,82.56,5906736,83.168,83.86,81.66
12/30/2022,82.48,4897662,82.48,82.85,81.5036
12/29/2022,83.08,5398596,81.87,83.26,81.63
12/28/2022,81.30,5167955,82.88,83.27,81.18
12/27/2022,82.71,3962002,82.712,82.97,81.98
12/23/2022,82.74,3539554,81.76,82.765,81.40
12/22/2022,82.01,6620459,81.67,82.06,80.49
12/21/2022,83.52,7101745,83.36,84.42,83.25
12/20/2022,82.81,6614822,82.63,83.29,81.86
12/19/2022,83.02,3776122,84.00,84.00,82.52
12/16/2022,84.09,8166432,85.42,85.42,83.16
12/15/2022,86.32,5325477,86.509,87.12,85.84
12/14/2022,87.49,6553270,88.03,89.11,87.05
12/13/2022,88.09,6864416,88.88,89.47,87.08
12/12/2022,86.49,5115862,86.03,86.50,85.06
12/09/2022,85.83,4572502,85.71,86.66,85.50
12/08/2022,85.99,3994372,85.66,86.77,85.50
12/07/2022,85.39,6206746,85.05,86.29,84.88
12/06/2022,85.22,5276881,86.21,86.25,84.85
12/05/2022,86.03,5983225,87.37,87.37,85.84
12/02/2022,87.63,3953700,86.85,88.07,86.49
12/01/2022,87.89,5039074,88.72,89.38,87.17
11/30/2022,88.08,7077835,85.91,88.14,85.27
11/29/2022,86.11,6035678,84.78,86.2183,84.51
11/28/2022,84.71,4032741,86.55,86.96,84.51
11/25/2022,87.04,1524066,86.57,87.06,86.57
11/23/2022,86.49,4423826,86.31,86.91,85.79
11/22/2022,86.42,3515140,86.32,86.53,85.76
11/21/2022,85.95,3505934,85.20,86.03,84.94
