Date,Close/Last,Volume,Open,High,Low,Return,5_day,10_day,20_day,market_cap_b,buy,rsi,open-close,open-open
2021-11-03,208.1,11486710,209.69,210.15,206.73,-1.5900000000000034,213.48600000000002,213.298,205.871,2.4086482199,0,58.88662844460882,0.5500000000000114,-3.469999999999999
2021-11-02,209.14,14688720,213.16,213.35,207.82,-4.02000000000001,212.63599999999997,212.69400000000002,206.82000000000002,3.1310475552,0,62.98850574712638,0.6999999999999886,-0.3300000000000125
2021-11-01,212.46,13210300,213.49,215.25,211.45,-1.0300000000000011,211.02999999999997,212.70999999999998,207.7545,2.820266947,0,61.54458598726112,1.7199999999999989,4.280000000000001
2021-10-29,211.77,14329820,209.21,213.665,208.54,2.5600000000000023,210.05,212.67800000000003,208.52850000000004,2.9979416422000003,1,58.70821295914155,-0.6299999999999955,-10.039999999999992
2021-10-28,209.84,23199410,219.25,219.99,209.01,-9.409999999999997,210.262,212.61999999999998,209.138,5.0864706425,1,54.91163173037402,3.469999999999999,-5.5
2021-10-27,215.78,22958060,224.75,224.75,215.66,-8.969999999999999,211.798,212.642,209.7645,5.159823985,0,50.67446043165467,-7.069999999999993,-10.780000000000001
2021-10-26,231.82,7814503,235.53,236.96,231.33,-3.710000000000008,216.334,214.48499999999999,211.43099999999998,1.8405498915899998,0,66.93268563497566,1.6500000000000057,2.0800000000000125
2021-10-25,233.88,4938664,233.45,234.86,232.29,0.4300000000000068,220.618,215.82399999999998,213.346,1.1529311108,0,68.31400235333668,2.219999999999999,3.1599999999999966
2021-10-22,231.23,3788001,230.29,232.82,228.71,0.9399999999999976,224.51,217.28000000000003,214.8645,0.87233875029,1,67.20687944435255,0.04999999999998295,-0.4099999999999966
2021-10-21,230.24,5982197,230.7,230.83,226.3,-0.4599999999999795,228.59,219.426,216.20999999999998,1.3800928478999999,1,63.032670454545446,-0.7199999999999989,-2.755000000000024
2021-10-20,231.42,5401813,233.455,233.8,231.31,-2.035000000000025,231.718,221.75799999999998,217.52799999999996,1.261080253915,0,66.29315018977046,-0.06499999999999773,1.5050000000000239
2021-10-19,233.52,4409660,231.95,233.64,230.68,1.5700000000000216,232.058,224.196,218.44500000000002,1.022820637,0,62.94456586528909,1.299999999999983,1.7699999999999818
2021-10-18,230.65,5580210,230.18,232.76,228.143,0.4699999999999988,231.41199999999998,226.01500000000001,219.3625,1.2844527378,1,64.1555285540705,-0.8100000000000023,2.960000000000008
2021-10-15,230.99,6355056,227.22,231.09,226.73,3.77000000000001,231.36399999999998,227.93699999999998,220.30749999999998,1.44399582432,0,76.54793210614392,2.039999999999992,3.0999999999999943
2021-10-14,225.18,5591944,224.12,225.65,223.06,1.0600000000000025,230.352,229.471,221.0455,1.25326648928,1,68.18568994889267,1.6599999999999966,0.9900000000000091
2021-10-13,222.46,9077425,223.13,225.86,218.63,-0.6699999999999875,228.56000000000003,230.13900000000004,221.39050000000003,2.02544584025,1,63.69243421052633,-0.9200000000000159,-2.430000000000007
2021-10-12,224.05,5448215,225.56,226.22,222.92,-1.509999999999991,226.66600000000003,229.362,221.92350000000002,1.2288993754000002,0,62.35344276273717,0.44999999999998863,-4.449999999999989
2021-10-11,225.11,5620197,230.01,230.315,224.87,-4.899999999999977,225.558,228.48499999999999,222.1545,1.29270151197,0,64.10744500846023,-0.2600000000000193,-0.9900000000000091
2021-10-08,230.27,3735169,231.0,232.7335,230.18,-0.7299999999999898,225.414,228.38899999999998,222.83450000000002,0.862824039,0,70.2237180756286,0.44999999999998863,2.0900000000000034
2021-10-07,230.55,6561920,228.91,231.16,228.49,1.6400000000000148,226.488,228.42000000000002,223.923,1.5020891072,0,66.46599777034561,2.4000000000000057,6.8700000000000045
